ID,Name of Piece,Author,Number of Copies,Google Drive Link
188,Rizos Blancos,Diogenes Rivas,25,https://drive.google.com/file/d/1-DYksP9OiMuGjTNM4wCJ3N-cM2yMf36c/view?usp=drivesdk
189,Romance del Tirano Aguirre,Vicente Emilio Sojo,25,https://drive.google.com/file/d/1vOomlvadX1YbLGgfHTjhSF8w5AKDcpKr/view?usp=drivesdk
190,Rosa Amarela,Hector Villalobos,30,https://drive.google.com/file/d/1A8sM9AoE85B-jx9ji0PI1Af0Gs-gp88P/view?usp=drivesdk
191,Salve Regina,Cesar Alejandro Carrillo,25,https://drive.google.com/file/d/1nNS6XuA9GNVtC2PUxGNCciLlj-UtLQKH/view?usp=drivesdk
192,Sambarambule,Felipe Izcaray,15,https://drive.google.com/file/d/1XJmn8WPEEDfdtvNdMIHdtATn19ga6suj/view?usp=drivesdk
193,San José ta contento,Z vidaud,8,https://drive.google.com/file/d/1wOyx6UrrhyjVx_SzedKF_T_bWizl_9_8/view?usp=drivesdk
194,Sancocho e huesito,Anonimo,5,https://drive.google.com/file/d/1CFNbEuatH-btLhfJRDatu3g9uYxXA9Ta/view?usp=drivesdk
195,Se equivocó la paloma,Guartarino,,https://drive.google.com/file/d/1HC-9woULjjT1QIxe3GHcSERcWUEfzXT7/view?usp=drivesdk
196,Se todos fossen iguales a voce,Jose Bultriago,3,
197,Seis Perreao,Felipe Izcaray,30,https://drive.google.com/file/d/1bE77RqZSHjw0wKHwT5aAS7XxgOdloSLd/view?usp=drivesdk
198,Set Down Servant,Robert Shaw,,https://drive.google.com/file/d/1pvcpwWI_7th4NGM5QNpoQB1NheCS7yqI/view?usp=drivesdk
199,Sicut Cervus,Giovanni Pierluigi Da Palestrina,,https://drive.google.com/file/d/1y0WJ_MtaZelZyQ6rbTNP0gzvl7brG3_w/view?usp=drivesdk
200,Sola Camisola,Ricardo Jaramillo Rodrigo Trujillo,10,https://drive.google.com/file/d/12LhtzVZAF2DCO1-yr8IvR0PXwdXbfNYX/view?usp=drivesdk
201,Sometimes I feel like a motherless child,Robert Fontaine,,
202,Son de la Loma,Conrado Monier,20,https://drive.google.com/file/d/1nkpVFROstfUbjIUizuEO3ViOkDCso_fz/view?usp=drivesdk
203,Son Mercedes,Leo Brower,20,https://drive.google.com/file/d/1oDZ-4f3Ph3hh1Bf7jlIteJ744uF9p-wz/view?usp=drivesdk
204,Soy Pan Soy Mas Soy Paz,Julio Barragan S,10,https://drive.google.com/file/d/1F5iP1Zg-CChXndH0GxPZyah6o_aq71sR/view?usp=drivesdk
205,Stabat Mater,Juan Manuel Olivares,10,https://drive.google.com/file/d/1pudmjAknb2PKdIj1bcyGDATwJGoQAZL3/view?usp=drivesdk
206,Suite Martiniqueña,Electo Silva,30,https://drive.google.com/file/d/1riikFKNMtYIfaGIjkeWvcz3vQuhtSt0X/view?usp=drivesdk
207,Summertime,William Stickles,8,https://drive.google.com/file/d/1sJW99OVCe6cS45AkXyG9yUnPJcvaxSYH/view?usp=drivesdk
208,Sun sun paloma,Electo Silva,,https://drive.google.com/file/d/1ZZYitl8ZBZCi9oLl4Aghnf6pJeM5xFwV/view?usp=drivesdk
209,Swing Low Sweet Chariot,Roger Wagner,30,
210,The Omnipotence,Franz Schubert,30,https://drive.google.com/file/d/1sR_NHo54uONy-MXOXKN8SVLd5wWei-yG/view?usp=drivesdk
211,Thou knowest Lord the Secrets of our hearts,Henry Purcell,12,https://drive.google.com/file/d/1PcNFN1RgOMxkgZ-AmRtEks6LbhMLHuiO/view?usp=drivesdk
212,Timor et Tremor,Francis Poulenc,10,https://drive.google.com/file/d/1MhT4_dktYXtlyVvTZTcOyNK0sM_Etnh3/view?usp=drivesdk
213,Todas las Estrellas,Modesta Bor,20,https://drive.google.com/file/d/1CUL6YNwO-eDhwJUeEZBOY9Duv6h87eJg/view?usp=drivesdk
214,-,-,-,
215,Tres Epitafios,Rodolfo Halffter,10,https://drive.google.com/file/d/1i45dZqgL_BPRNubpsbJvRe4m6qnfFpH6/view?usp=drivesdk
216,Cancion de Jinete,Juan Carlos Nuñez,25,https://drive.google.com/file/d/1LD8VhdfSPtZAc6LZ6SY48EkPYEVOHkwW/view?usp=drivesdk
217,Tu Corres por la Playa,Gilberto Rebolledo,10,https://drive.google.com/file/d/1fm6AvO-fP2gSx6LZS5Fs7_ShTGC70kYo/view?usp=drivesdk
218,Uxor Tua,Vicente Emilio Sojo,10,https://drive.google.com/file/d/1hCFg6nUcI5mrlqy0e3tqud8aq58Q3cQm/view?usp=drivesdk
219,Velero Mundo,Modesta Bor,20,https://drive.google.com/file/d/1t-zeDYxCNIXqyaF8jhH0FAlup4AEipGB/view?usp=drivesdk
220,Stabat Mater,G.B. Pergolesi,10,https://drive.google.com/file/d/1HBkPE5SXD_dAMBwn00pJKZcSmpoTPnyI/view?usp=drivesdk
221,Venid Oh mortales,Gilberto Rebolledo,20,https://drive.google.com/file/d/1uj9N5zl-MO9Quz9OrTZGdhYfa5CCtlDm/view?usp=drivesdk
222,Verano Porteño,Astor Piazzola,20,https://drive.google.com/file/d/1uPCjeZaEoa__bKN7vnY6csnMeS3wzrab/view?usp=drivesdk
223,Virgen Santa,F Guerrero,2,https://drive.google.com/file/d/1cYedgy1glbj_1ZkbubamfMvlCb0bbagw/view?usp=drivesdk
224,Weep O Mine Eyes,John Bennet,10,https://drive.google.com/file/d/1XZP9IpFYIjzJdCExDdj77cBrsJi99dKZ/view?usp=drivesdk
225,Were you there,Alice Parker,30,https://drive.google.com/file/d/1kG8Wer2pVABp8frhUP6_fbZaF-x9PFVY/view?usp=drivesdk
226,Xauli,Tomas Garbizu,20,https://drive.google.com/file/d/1IRwSr8Vn-QRQjEFTjswdPrR_BJCm3txL/view?usp=drivesdk
227,Yemanja Oto,Kilza Setti,30,https://drive.google.com/file/d/1td5FNaMltqegMOiWyTHoPJY0uon6_WCA/view?usp=drivesdk
228,Zefiro Torna,Luca Marenzio,20,https://drive.google.com/file/d/1sA_Sl4Wbu9Y_mzWsRjTNKOAeiu_VGlIz/view?usp=drivesdk
229,El negro José,Ali Aguero,20,https://drive.google.com/file/d/1Epqb-r2ZQY4KoEHWhTud8UlRsQK7bUpN/view?usp=drivesdk
230,Barquito de Sal,Antonio Villa Alvarez de Sotomayor,8,https://drive.google.com/file/d/1swbxepJbZZW1ut-FXbSH82aT4NeZ8jrI/view?usp=drivesdk
231,Vidala de Nochebuena,C barraquero,20,https://drive.google.com/file/d/1O0NDKkZcYd_aQmkSxJHfh_sHc4w3oihn/view?usp=drivesdk
232,Al compás de Habanera,,10,https://drive.google.com/file/d/14v5tG0lgN09kUk0DIeC_WaWn6jBzjHA9/view?usp=drivesdk
233,Mare Nostrum,Vicente Sanchez Sanz,6,https://drive.google.com/file/d/1cG4skQxvU60-8E2_nP1yRzU0j-dLbTvF/view?usp=drivesdk
234,Magnificat,Johann Sebastian Bach,20,
235,Torrevieja,Ricardo Lafuente Aguado,15,https://drive.google.com/file/d/1J_Xsb_s7jL1NXVhhjKLuvCgCxGOzacdO/view?usp=drivesdk
236,Lux Aurumque,Eric Whitacre,15,https://drive.google.com/file/d/1_QF0hpjssE9b4GZibXC6lqKSa5sxeUR7/view?usp=drivesdk
237,O sacrum convivium,Oliver Messiaen,12,https://drive.google.com/file/d/1Dx7TYnqbX46AK8THDIJf5EekHUly86_7/view?usp=drivesdk
238,Daniel Servant of the Lord,Undine Moore,12,https://drive.google.com/file/d/1KItpeRK94pn9Z4Co4dljQCNnQcX-kueY/view?usp=drivesdk
239,La Nana,Anonimo,5,https://drive.google.com/file/d/1yeQEMKp1YsB7Q67bqd6kFOTHJwFEeI5Y/view?usp=drivesdk
240,Oiga Compae,Cesar Alejandro Carrillo,15,https://drive.google.com/file/d/1GdhUhxh88L9xKYTvZvDwP0H5jV77L7G1/view?usp=drivesdk
241,Canciones Alemanas,,30,
242,Gloria ,Javier Busto,20,https://drive.google.com/file/d/13ppOtXXsaHx9-3cqwUGDqdYn48rT3Gq7/view?usp=drivesdk
243,Dame una Ilusion,Modesta Bor,2,https://drive.google.com/file/d/114Cbo5AUko6Nqj7E-GCk-YZazxa7SQtL/view?usp=drivesdk
244,Coro di Schiavi Ebrei,Anonimo,20,https://drive.google.com/file/d/1Vzpzaww-XqaUVQ0rmPsfN7v__sV351BY/view?usp=drivesdk
245,Tres picardías Venezolanas,Oscar Galian,10,https://drive.google.com/file/d/1Qss7tCBTLIYsOeSbT0Itg4vmZWEAZzSD/view?usp=drivesdk
246,O Magnum mysterium,Javier Busto,15,https://drive.google.com/file/d/1TpK1Ly_GB9qncs0yV293L5bc3tn1iZwp/view?usp=drivesdk
247,Choros No 10,Hector Villallobos,15,https://drive.google.com/file/d/1w-rRZz9LQ3PPNgSHzT3iiRSVz1fcvAGw/view?usp=drivesdk
248,Lacrymosa,Z lukas,10,https://drive.google.com/file/d/1PW8fdHBpnytAh1OB0tXlY_0F2CO1GtD7/view?usp=drivesdk
249,Chili con Carne,Anders Edenroth,20,https://drive.google.com/file/d/1_VoZyTGpsJhHhNwptA1c23QTUyfeFN9a/view?usp=drivesdk
250,Lo hadi ainguria,Francisco Escudero,30,https://drive.google.com/file/d/1DL6r_FENRfg41tmhGX0awRgKf-kHzUGC/view?usp=drivesdk
251,Si a mi me hubieran dicho,Beatriz Corona,12,https://drive.google.com/file/d/1AabUn5oGV1RopEYkO07KYmaSlWm1e-qG/view?usp=drivesdk
252,El Garrote Encabuyao,Albert Hernandez,12,https://drive.google.com/file/d/1D3QoEqxjMa-jW7Zg2Im_ZZBB4MKz7LAO/view?usp=drivesdk
253,Romance para una madre Campesina,Felipe Izcaray,20,https://drive.google.com/file/d/19YyjxngCDTJJPT6ob_H5VSXw6NzQzEBH/view?usp=drivesdk
254,The Planets (Neptune),Gustav Holst,20,https://drive.google.com/file/d/1aVadPzStICvHXVqRznkhb33-PvF_DTwC/view?usp=drivesdk
255,Hymn to the creator of light,John Rutter,10,https://drive.google.com/file/d/1DUfyyQXHXNnsJwJfIP7N37KBrYE1-huu/view?usp=drivesdk
256,El Bodeguero,Conrado Monier,8,https://drive.google.com/file/d/1gAkfGL3F1Bq4H4v23lFlxl6aMDYroooJ/view?usp=drivesdk
257,Cantus Missae,Josef Gabriel Rheinberger,30,https://drive.google.com/file/d/1F_qWWgzXN06dyw96vr6Wcm4gZ-YPQAAT/view?usp=drivesdk
258,El Arado,Gilberto Rebolledo,8,https://drive.google.com/file/d/1SV7GckkOFjsf7wYrgfYevVPfeNs7zbp9/view?usp=drivesdk
259,Cantata 142,Johann Sebastian Bach,20,https://drive.google.com/file/d/1KtcjqLqzuB2e_zLR-C8xY5UNbpSLLatc/view?usp=drivesdk
260,Shenandoah,James Erb,10,https://drive.google.com/file/d/1a2Tv9KJYijkU-7oaUdIlq2aL_OvXr-OB/view?usp=drivesdk
261,Aguas de marzo,Gerard Gambus,20,https://drive.google.com/file/d/1AI7TQsIbHp0mz390Q2R07uwFaf-oqCCS/view?usp=drivesdk
262,Cantata de Navidad,Daniel Pinkham,,https://drive.google.com/file/d/1RS34n79u60UcwA9HdDOC15MmW8qmSK-b/view?usp=drivesdk
263,Deck the hall,Hugo Cole,12,https://drive.google.com/file/d/1Lygm385dRl1D95b4NMpqpiJ2Genyl2NR/view?usp=drivesdk
264,Quatre Motets pour le temps de noël,Poulenc,30,https://drive.google.com/file/d/1yrjT9KrWZTo-pSKJKvTuOcB5ywvm4U6U/view?usp=drivesdk
265,Blow Blow thou winter wind,Cyrill Jenkins,8,https://drive.google.com/file/d/1ld-rvrsocKqtcf8w-z2l0TSHDPr4svUS/view?usp=drivesdk
266,-,-,-,
267,Al Mar anochecido,Gonzalo Castellanos,15,https://drive.google.com/file/d/19fzxjCZpYr9TYQLStKaas-hjViuXIK8f/view?usp=drivesdk
268,Viña Nueva,Adriana Verdie,15,https://drive.google.com/file/d/1H96W3Po5l-2_RBbtOYxbsCJkwZO1wJH7/view?usp=drivesdk
269,El Santiguao,Fedrico Ruiz,4,https://drive.google.com/file/d/1Gre_z4P90Ay_opi6B3mxuBosSEBZ9OKQ/view?usp=drivesdk
270,-,-,-,
271,San Juan To lo Tiene,Cesar Alejandro Carrillo,25,https://drive.google.com/file/d/1KuGs5VCUevI0lsqCtIwqMgB7dFW0TFaw/view?usp=drivesdk
272,Tradicion,Gilberto Rebolledo,1,https://drive.google.com/file/d/1WHdevB64_9-zRh-UXOl5Kh4b9cjiQM2T/view?usp=drivesdk
273,All My Trials,Norman Luboff,10,https://drive.google.com/file/d/1XwC02C58KgPzK3CbHkzXXsO5W-NBtIxa/view?usp=drivesdk
274,Esplendida Luna,Gilberto Rebolledo,2,https://drive.google.com/file/d/1T8KzIIRX0GCXO8aECyt_TePT52qhoXap/view?usp=drivesdk
275,Sabia Coracao de una viola,Aylton Escobar,12,https://drive.google.com/file/d/15SSu7DLN_4_GpByKxJpJ-a_dbfqnltKR/view?usp=drivesdk
276,In Monte Olivetti,Cayetano Carreño,15,https://drive.google.com/file/d/1a5xMoS4VBdK7ATvNZfDN4tp4BELKeXag/view?usp=drivesdk
277,Ave Maris Stella,Trond Kverno,20,https://drive.google.com/file/d/1KnskODt9RLhCM4927WNFqTuNjwWxX0A2/view?usp=drivesdk
278,Christmas music for voices,John Cacavas,20,
279,Ponto de Macumba,Gerard Gambus,15,https://drive.google.com/file/d/1BabLhgXEZnKcOWSzgFCorUj40be1s_8K/view?usp=drivesdk
280,A choral Amen,John Rutter,30,https://drive.google.com/file/d/1iCLCtTwflPU7fWGbmEeHW4fnXO17mVtg/view?usp=drivesdk
281,Dadme Albricias,Anonimo,1,https://drive.google.com/file/d/1XVwHmRLrKb_GDPxJpaBFcEw6fs4_wMSh/view?usp=drivesdk
282,O voso galo comadre,M Groba,2,https://drive.google.com/file/d/12SPN4Ho2XWwVZ_SJxnycBFJ3F9gyzEoQ/view?usp=drivesdk
283,D'amor pane dolcissimo,Anónimo,,https://drive.google.com/file/d/1hWHJThwC-GM_RcTfwzBttb96Yu6N4MuL/view?usp=drivesdk
284,De Coelo Veniet,Jacobus Gallus,3,https://drive.google.com/file/d/1zE8a0VtvCW2xQQ_uvguoFTO_OUy97DZk/view?usp=drivesdk
285,Susceptimus,Anonimo,5,https://drive.google.com/file/d/1-EH8krtNOm9LG3wmp64_NmQZahIkhq3v/view?usp=drivesdk
286,Espinito,Juan Bautista Plaza,4,https://drive.google.com/file/d/1jWSU0S7x9op8iyH-b6X0ZGyfibz5bWzL/view?usp=drivesdk
287,La Belle si nous etions,Francis Poulenc,5,https://drive.google.com/file/d/1pq0de-ZyeYD0Y9OesGfLJH0rNc1OVYr9/view?usp=drivesdk
288,The lord loves a laughing man,Norman Lubolff,,https://drive.google.com/file/d/1yTyMO2E6FGqDOphyt4MIV_8Zh6cCIjYe/view?usp=drivesdk
289,Aguinaldo de El Tocuyo,Felipe Izcaray,10,https://drive.google.com/file/d/1btkshLKhT0AqpfVxrIWc351NdjYvDwbV/view?usp=drivesdk
290,-,-,-,
291,Soon ah will be done,William Dawson,2,https://drive.google.com/file/d/151M3rrU_G7r_Ke2m6o_TV0Pstn3oICUB/view?usp=drivesdk
292,Luna de los maizales,Vinicio Adames,,https://drive.google.com/file/d/1YYw4qNS35ZeD05aiULpWHeJpN2XZK9FC/view?usp=drivesdk
293,Rosas Frescas,Juan Bautista Plaza,12,https://drive.google.com/file/d/18AO0bRq37YviLWTGJhZEnf_IJa7W6r3h/view?usp=drivesdk
294,El poncho andino,Gilberto Rebolledo,,https://drive.google.com/file/d/1kWSmAP_OtdytctAi7CicIUpVQ30CePQn/view?usp=drivesdk
295,Qualis Est,Pedro Nolasco Colon,10,https://drive.google.com/file/d/1Jql602Al0vykQjPf2uvpqSTYI3UUtQo-/view?usp=drivesdk
296,Recordare Domine Quid Acciderit Nobis,Anonimo,10,https://drive.google.com/file/d/1FZXyUZIrm7Fh6s880IIabz901Q3Nn-ij/view?usp=drivesdk
297,Como le pago,Felipe Izcaray,3,https://drive.google.com/file/d/1Q-ev-fJrR_3CBxnq_K_Isv7ZuDGyxa_Q/view?usp=drivesdk
298,Resignation,Hugo Wolf,5,https://drive.google.com/file/d/1SAtVxvXErpG-DpYSAZo02Y6Lb_D8jwnz/view?usp=drivesdk
299,Que gran tradición,Cesar Alejandro Carrillo,1,https://drive.google.com/file/d/1cSb0tJTqSiV_F18Gh8b0X2tlpRN6YafR/view?usp=drivesdk
300,La Pascua es Hermosa,Rafael Suarez,2,https://drive.google.com/file/d/1EzhS5NoqthDKhThpo5s_EIfCCqUpQjDX/view?usp=drivesdk
301,Aguinaldo,Cesar Alejandro Carrillo,1,https://drive.google.com/file/d/1PvNO-uWg8aX6cuEm-mqOl-m6Y-D-f533/view?usp=drivesdk
302,Der Schmid,Robert Schumann,10,https://drive.google.com/file/d/1FpRO_zZyWTdIzWUdJPo-MjEb3MqlaEix/view?usp=drivesdk
303,Canto de Lavanderas,Grupo Malenche,15,https://drive.google.com/file/d/1fIMq0UXIcjLcb7tpzHVOi2khtC0aHQ8H/view?usp=drivesdk
304,Aguinaldo Carupanero,Rafael Suárez,15,https://drive.google.com/file/d/1dTBUrCEI0TzaWCy4_qR09-ZTuPIAIhEL/view?usp=drivesdk
305,Romance a lo divino,Silvia Einstein,15,https://drive.google.com/file/d/11MX_gPdjeQVJ8mI-2yfJGi_q6ZG-h56v/view?usp=drivesdk
306,Versos del niño,Silvia Einstein,15,https://drive.google.com/file/d/1pChB0QlatWiI8I-htz38qQhpQMzIDbk5/view?usp=drivesdk
307,Cantemos,Gilberto Rebolledo,,https://drive.google.com/file/d/1EOkQ3_Nrobks1aywkb6BuTAo8-nww8u0/view?usp=drivesdk
308,Roll Jordan Roll,R H Gillum,15,https://drive.google.com/file/d/1Bql5FvNI6aTqIAkzIVRfWJbmvAwIEGv3/view?usp=drivesdk
309,My soul's been anchored to the lord,Moses Hogan,5,https://drive.google.com/file/d/16ItBrFrYorlEd-OTAFPJIoh7svA_GFzL/view?usp=drivesdk
310,Aint that good news,William Dawson,10,https://drive.google.com/file/d/1ZzCI3pjxr7Go4QY5me-plivYhUeKBG_2/view?usp=drivesdk
311,Bin Nam Ma,Alberto Grau,25,https://drive.google.com/file/d/1sM_1W5Z5-3DNWvyfaQ_cRpzFtFYiRm0a/view?usp=drivesdk
312,Trois Chansons,Claude Debussy,12,https://drive.google.com/file/d/1VhxjAT5tBgWqGRopQsRIu52u6pOUVBvV/view?usp=drivesdk
313,Le chant des oyseaux,Clement Janequin,3,https://drive.google.com/file/d/18ZxfFvzOfp83Z80UMnG8wsf3XZWi6UqX/view?usp=drivesdk
314,Alma Redemptoris Mater,Javier Busto,15,https://drive.google.com/file/d/1SUzgtGes0qFQqQtZS3vCRsrk7BMsnQnQ/view?usp=drivesdk
315,Water Night,Eric Whitacre,20,https://drive.google.com/file/d/1lZJo9hh0zqQ16oCrxRKcH4ScnhSS9lDW/view?usp=drivesdk
316,Habladurías,Antonio Estevez,2,https://drive.google.com/file/d/1fbjOviByDpzvLx1BSqiuQr7RwpXeE7O4/view?usp=drivesdk
317,El Mencionao,Federico Ruiz,3,https://drive.google.com/file/d/1PVUd-CNRvPr8xbZFBxr5g1whExEqcj_B/view?usp=drivesdk
318,Canto a España,Aldemaro Romero,1,
319,Verlust,Josef Gabriel Rheinberger,15,https://drive.google.com/file/d/1UQdKV4BuYWm7p_yqObbT-tiq38T6vm2y/view?usp=drivesdk
320,Lux Fulgebit,Javier Busto,15,https://drive.google.com/file/d/1ZOkd9eaXJWebctJkM1Edzg7_lvTkq0Hu/view?usp=drivesdk
321,Ave Maria Gratia Plena,Javier Busto,15,https://drive.google.com/file/d/14yORmpjK3XiOTlf6uNjIXc-ErTum1bmu/view?usp=drivesdk
322,Ave Maria,Javier Busto,3,https://drive.google.com/file/d/1jnZcBpXetK0Up0e2HFjdQ0PYu1Y0tYmE/view?usp=drivesdk
323,Laudate Dominum,Juan de Herrera,12,https://drive.google.com/file/d/1Atb8KOGOdRcE_f0zygSBBJ3Xi9mxwME0/view?usp=drivesdk
324,"Esa noche yo baila, A recoger pasiones inhumanas",Anonimo,9,https://drive.google.com/file/d/1Tf_xMZTPiMpGEgQ_sRXuZcGOLOiiaZAM/view?usp=drivesdk
325,Inter Vestibulum,Jose Mauricio Nunes Garcia,12,https://drive.google.com/file/d/1qmf4T8aQNBQ_ezQ3wvUTB8hIhYEhnLPq/view?usp=drivesdk
326,Hanaq Pachap,Anonimo,50,https://drive.google.com/file/d/1dS-SSHKAm2Q2IUQl8qLv0r8_ExIJaIle/view?usp=drivesdk
327,Las Campanas Suenan,Gilberto Rebolledo,5,https://drive.google.com/file/d/1JEXLSYPzNJJXEi9hBUEL02GMSL3BPAvh/view?usp=drivesdk
328,Con esta Parrandita,Modesta Bor,15,https://drive.google.com/file/d/1WA6Iv4EGiruoSyIn88JodSyI72wy666L/view?usp=drivesdk
329,No lloreis mis ojos,Javier Busto,20,https://drive.google.com/file/d/1eADuA7ID7ymeyaOUOVLimh3uL4T41JaN/view?usp=drivesdk
330,Canto del Pilon,Modesta Bor,10,https://drive.google.com/file/d/1-7933zpVGnc-OowWTJWTcdwjKRLwLQdM/view?usp=drivesdk
331,Regina Caeli,Cristobal Morales,10,https://drive.google.com/file/d/1lU6xqXm3wvrPb2D-GDc6ixZ3A0l3rWCA/view?usp=drivesdk
332,Cachita,Conrado Monier,4,https://drive.google.com/file/d/1tNLWVcyUU5QWdbHfz2x8BK_ifb7YBomV/view?usp=drivesdk
333,A ti te cantamos,Cesar Alejandro Carrillo,20,https://drive.google.com/file/d/1wKOq5p5S8_n6F0SaNPxeZo0OOJ9hiqL3/view?usp=drivesdk
334,Alumbra Cocuyito,Cesar Alejandro Carrillo,10,https://drive.google.com/file/d/167p7-YmTHXSBabnOvTJiyN2Cw4l-CK5U/view?usp=drivesdk
335,Maracaibo Mia,Luis Fernando Moncada,3,https://drive.google.com/file/d/1nt8Dtetv8dpVqnQJiGj90APbh3V8Tduv/view?usp=drivesdk
336,Salve Regina (To The Mothers in Brazil),Gunnar Eriksson,3,https://drive.google.com/file/d/1PCwIEk4U4Y1JBHHbNwUEjvE7fcGN8f2e/view?usp=drivesdk
337,-,-,-,
338,Mi querida Torrevieja,Jose F Sanchez,15,https://drive.google.com/file/d/1hROcJ3MGeqtx9qSqPROxUabKhdZ609uM/view?usp=drivesdk
339,Oh Po Little Jesus,Willis Laurence James,20,https://drive.google.com/file/d/1KRNV0KwHcALHRYUOokXOv7rfg4_RX1tZ/view?usp=drivesdk
340,Villanesca,Francisco Guerrero,5,https://drive.google.com/file/d/1Rr4cQeaOzsYKmU3JYv_6Ggrv-RPfAMV9/view?usp=drivesdk
341,El Gallo,Rafael Suárez,1,https://drive.google.com/file/d/1AC5ecxIG3_lsZaYshXj6LRcJDd0mQpvo/view?usp=drivesdk
342,La Cachua,Rafael Suarez,15,https://drive.google.com/file/d/1kj8lVj_uUjbp6E0weC3onah0krj61vHz/view?usp=drivesdk
343,Apure en un Viaje,Genaro Prieto,5,https://drive.google.com/file/d/1ZNDanYFlSIr6NQykyUE6AUyY9vkvvcjG/view?usp=drivesdk
344,Chiquilin de Bachin,Astor Piazzolla,1,https://drive.google.com/file/d/1JmvD-7BTLiQtck_d4JjlthxFwiT7N7r2/view?usp=drivesdk
345,Aqui te amo,Modesta Bor,4,https://drive.google.com/file/d/1aANAegA2QUtx8KwyfKqQPu93PXyaLoci/view?usp=drivesdk
346,Amor de mi Alma,Randall Stroope,4,https://drive.google.com/file/d/1WYeBiaAmu5fKemjOmg1ORA1NZk47bkqh/view?usp=drivesdk
347,Chan Chan,Compay Segundo,6,https://drive.google.com/file/d/123EVn-o9z7Xc45CWTTwPhUNqhQxGCAOs/view?usp=drivesdk
348,Deus Qui Iluminas,Julio Dominguez,8,https://drive.google.com/file/d/1heA7-6lLGX3EfVGwuAg2z7YoJBA4lrCi/view?usp=drivesdk
349,Ametsetan,Javier Busto,4,https://drive.google.com/file/d/1vOKTRB3w5x06GuFQY750hhUVvb-rw4Tq/view?usp=drivesdk
350,Lili Eder Bat,Guillermo Lazcano,10,https://drive.google.com/file/d/18tGjehxQGkBUezhbebXyT0iUUGZEeSoM/view?usp=drivesdk
351,La blanca Paloma,Rafael Suarez,10,https://drive.google.com/file/d/1lms1dEQ_xQnijY_cGWlYUI61YBENfQ2u/view?usp=drivesdk
352,Lil boy chile,William Dawson,10,https://drive.google.com/file/d/1aLzckigSiJq4PZVw-B6TuFQNYCEbBE_1/view?usp=drivesdk
353,Responsorio de Navidad,Javier Busto,20,https://drive.google.com/file/d/1l2RMkuZJPpD3gWsLdnVrhzJBophCezfT/view?usp=drivesdk
354,Salve,Vicente Emilio Sojo,3,https://drive.google.com/file/d/10IaqL7Fg107coZY8Lre9_N10zJ1O2Sba/view?usp=drivesdk
355,Da droben vom berge,Don wiggins,10,https://drive.google.com/file/d/1GlYWY1YpOwYs7jS9M_QOgNxUUHYnOiSH/view?usp=drivesdk
356,Chansons a la Francaise,Rene Berthelot,10,https://drive.google.com/file/d/1-aC4CpHZ9KzX9_AGvAzYas9Hr8BtxO4P/view?usp=drivesdk
357,Ay agüita de mi tierra,Waldo Aranguiz,15,https://drive.google.com/file/d/14BiVsY624Yf-GP803UDAYzoFCUd09M3P/view?usp=drivesdk
358,De todos los caminos,Jesus Rondon,15,https://drive.google.com/file/d/1YOGnv9NnSBpmb_QyrAVvgq2b0szNUwDm/view?usp=drivesdk
359,Naranjitay,Luis Craff,5,https://drive.google.com/file/d/1X2ur9Nan1HwX0Ok5I0qhi4fSsOkBV_lu/view?usp=drivesdk
360,Irunian,Javier Busto,3,https://drive.google.com/file/d/1r8o4bPXRQrX0PzpYy8PjTW2-92p5_VnD/view?usp=drivesdk
361,Canto a Ejido,Roldan Fernandez,10,https://drive.google.com/file/d/1W70av2KSBk2PtDDZ0-YI4sgejXQnFgd9/view?usp=drivesdk
362,Ave verum,William Byrd,,https://drive.google.com/file/d/19cLr7vYa-SzPVm4q6DDzkcl8XmrflAr-/view?usp=drivesdk
363,Oi no colo dela,Isaac Karabtchevsky,15,https://drive.google.com/file/d/1w2QfR4GMjvPbhDg_D8JGFhtTymoKJojD/view?usp=drivesdk
364,O vos omnes,Giovanni Matteo Asola,15,https://drive.google.com/file/d/1U5HeL0K-mEg5QxqP5U2NnbyPpHp1i3qp/view?usp=drivesdk
365,Musica,Jakobus Gallus,5,https://drive.google.com/file/d/1M15DLKYIA4EA7lWucktB2vzr0ls-DtpA/view?usp=drivesdk
366,Misa a Santa Ifigenia,Vicente Emilio Sojo,10,https://drive.google.com/file/d/1hmEvkx_H8NKd-fxCnclXRlCHp71i4TuH/view?usp=drivesdk
367,Himno a Bolivar,Teresa Carreño,20,https://drive.google.com/file/d/1Wjwkgqf7zc6SfRw7stD_VrNtQyijlFdc/view?usp=drivesdk
368,Aclamacion,Roldan Fernandez,30,https://drive.google.com/file/d/1N5F8mMPfMZ_Seq90ci-bN2VPoaEvWBW2/view?usp=drivesdk
369,Canticos de Navidad,Juan Orrego Salas,10,https://drive.google.com/file/d/14mPIpyv2di7HSH5WSaFjxORzBMl2TagX/view?usp=drivesdk
370,Parranda,Anonimo,10,https://drive.google.com/file/d/1jwlcs0NWm2T2G95OSZb0sHBWZoyoIGKy/view?usp=drivesdk
371,La Cabrita,Modesta Bor,8,https://drive.google.com/file/d/1rm0V-zQYo6W27wVKDqkA4nXUaLpngw-s/view?usp=drivesdk
372,Which was the son of,Arvo Part,6,https://drive.google.com/file/d/1ABaJywMJmal9vQsM1pURSDVJeWmVnnaw/view?usp=drivesdk
